record_id,farm_code,date,drive_file_id
4433,DB2006,2026-04-07,
4432,DB2006,2026-04-07,
4617,DB3017,2026-04-07,
4449,DB3015,2026-04-08,
4620,DB3016,2026-04-08,
4621,DB3022,2026-04-08,
4622,DB3022,2026-04-08,
4623,DB3022,2026-04-08,
5483,DB1002,2026-04-09,
5490,DB1001,2026-04-10,
5491,DB1001,2026-04-10,
5488,DB1003,2026-04-10,
5489,DB1003,2026-04-10,
5543,DB2007,2026-04-11,
5544,DB2007,2026-04-11,
5559,DB3023,2026-04-13,
5545,DB3023,2026-04-13,
5558,DB3023,2026-04-13,
5577,DB2006,2026-04-14,
5580,DB3007,2026-04-14,
5578,DB3007,2026-04-14,
5579,DB3007,2026-04-14,
