접수번호,접수일자,농장코드,농장명,구분,담당수의사,질병명,검사종류,결과,PDF_파일ID,파일명
,,,,,,,,,,
26-01739_항원,2026-02-27,DB1001,성진,직영,양승혁,PRRS,항원,,1RcTPAc-W0KWSn_e1j0O1OujJJ7hXuvNV,
26-01738_항원,2026-02-27,DB1001,성진,직영,양승혁,PRRS,항원,,19TOKr51aRAGOQ-zhz8pzUuaikLhhoiF5,
26-01739_혈청,2026-02-27,DB1001,성진,직영,양승혁,PRRS,혈청,,1_7lMo0tRREpEoIPgc2fAk2Dnh6AOyfOA,
26-01738_혈청,2026-02-27,DB1001,성진,직영,양승혁,PRRS,혈청,,1nCWKMcuefpELpDBWEqNRTsXO3z8gjhdf,
26-01595_,2026-02-27,(세균) 26-01595 한보축산(곰팡이독소),(세균) 26-01595 한보축산(곰팡이독소),-,-,PRRS,,,1UMlD-ddShLRsPKJ1JxZdBor6MG4gR8UP,
26-01718_항원,2026-02-26,DB1001,성진,직영,양승혁,PRRS,항원,,1egdtX0Ur7MJ_6paUX93dA9ASaZ_fbJ5R,
26-01718_혈청,2026-02-26,DB1001,성진,직영,양승혁,PRRS,혈청,,1zTHGF4JFq67-B5Y8fmJaV8S456pEAZ-8,
26-01685_항원,2026-02-26,DB1001,성진,직영,양승혁,PRRS,항원,,1EDKYyPQo6oTBUTHOKNORn2AjSvXf8fGf,
26-01685_혈청,2026-02-26,DB1001,성진,직영,양승혁,PRRS,혈청,,1ND1rWq9TbAhbBVxPGNa_lwUSIVwBCTYy,
26-01660_혈청,2026-02-25,DB1001,성진,직영,양승혁,PRRS,혈청,,1__iTlM_lF1eKkYCgtNlzMqRW1rg5_TRK,
26-01660_항원,2026-02-25,DB1001,성진,직영,양승혁,PRRS,항원,,1BmnoB2hKzCZGRL0Hu_JjVBfwANNCbxze,
26-01243_,2026-02-23,DB1001,성진,직영,양승혁,PRRS,,,1tFkRA1HzfHiv3jtLMsYQ9M8NXKYg8h0_,
26-01567_혈청,2026-02-21,DB1001,성진,직영,양승혁,PRRS,혈청,,1mEMfhqsYm0Stzyp0zpTWNnNMkOlU1A2l,
26-01567_항원,2026-02-21,DB1001,성진,직영,양승혁,PRRS,항원,,1qeK9VnSTK5LMAdVuCsc8LMWC_ajipWGK,
26-01514_항원,2026-02-20,DB1001,성진,직영,양승혁,PRRS,항원,,12gqav--zqjIKMP64ROUHTgFxc9vh_btt,
26-01515_혈청,2026-02-20,DB1001,성진,직영,양승혁,PRRS,혈청,,1a5o4FiLV22Gsz3HvrKxKGwW-r7rma6M-,
26-01430_항원,2026-02-14,DB1001,성진,직영,양승혁,PRRS,항원,,13sQr1XbzPSLKcD24f83HCd9UlZM5ZPVO,
26-01429_항원,2026-02-14,DB1001,성진,직영,양승혁,PRRS,항원,,1xmpudUBSXOoUiLHJm_nr4ESeSu9RMra7,
26-01428_항원,2026-02-14,DB1001,성진,직영,양승혁,PRRS,항원,,1Cl3G68XabCVYl7SqqbRxmp-PSa8tXPcK,
26-01427_항원,2026-02-14,DB1001,성진,직영,양승혁,PRRS,항원,,1Swmqfwh_lIA-x8H45_ohe-DCxqgvQg-T,
26-01431_혈청,2026-02-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1BQFEgki-l0qJU40IHciX4gyFzWB8K7G1,
26-01430_혈청,2026-02-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1X6fVScQ-7KrYunJIoPNlMZyECmM8g9i-,
26-01429_혈청,2026-02-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1VJGmudAsq0Nn3tVMJoTyOf7K6HPUbUuV,
26-01428_혈청,2026-02-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1cxT_2vEWEuDg0yasaa_sG22UNZb7gcuM,
26-01427_혈청,2026-02-14,DB1001,성진,직영,양승혁,PRRS,혈청,,1LJiMOMBbjGnGPGcdZqvI3u5HYQrK5Jl4,
26-01419_항원,2026-02-13,DB1001,성진,직영,양승혁,PRRS,항원,,1mG-daq5xcQ-zmkocehMbeKjSkZxTQMzx,
26-01419_혈청,2026-02-13,DB1001,성진,직영,양승혁,PRRS,혈청,,1DHq0VAh1rTM1dm0_SlRgDtNMtcjHnq49,
26-01327_항원,2026-02-12,DB1001,성진,직영,양승혁,PRRS,항원,,1qgt9E2HhSYTZQ2yLtUu0YLP_UlpVwpvE,
26-01326_항원,2026-02-12,DB1001,성진,직영,양승혁,PRRS,항원,,1xMQMkqzrV3KYoUBKlu92yY9byyTnSD2M,
26-01136_,2026-02-12,(염기서열분석) 26-01136 DB2011,(염기서열분석) 26-01136 DB2011,-,-,PRRS,,,1vrjsF9sL1ETixipqtKLpaYZ4B34nFcbS,
26-01327_혈청,2026-02-12,DB1001,성진,직영,양승혁,PRRS,혈청,,11YfXuit6oefmzcd5Ecte4EeTLsC0YUUI,
26-01326_혈청,2026-02-12,DB1001,성진,직영,양승혁,PRRS,혈청,,11RiNrS4sNmetYoeb_1b7gKc7JTvR9_ht,
26-01161_,2026-02-12,(염기서열분석) 26-01161 DB2011,(염기서열분석) 26-01161 DB2011,-,-,PRRS,,,1VljRjnUSRwhW0sNnxUPcjJKdcYpw9PTn,
26-01243_항원,2026-02-10,DB1001,성진,직영,양승혁,PRRS,항원,,1WQ77yc7O1mPJhnei6DFnKZ6JKcxck_xW,
26-01243_혈청,2026-02-10,DB1001,성진,직영,양승혁,PRRS,혈청,,1o7vKI1BPeE7EujzgZUO1LSusSqM4ciB1,
26-01225_항원,2026-02-09,DB1001,성진,직영,양승혁,PRRS,항원,,1Gxt9GxVtcbP2geBYQTZFB0pSF0abz8Uz,
